15:35:51 [SocketManager] Server started at port [44490]
15:35:51 [ServerList] ServerList loaded successfully
15:36:07 [ServerList] JoinServer online
15:36:23 [ServerList] GameServer online (Sala Principal) (6)
22:17:34 [ServerList] GameServer offline (Sala Principal) (6)
22:18:08 [ServerList] GameServer online (Sala Principal) (6)
22:18:23 [ServerList] GameServer offline (Sala Principal) (6)
22:18:35 [ServerList] GameServer online (Sala Principal) (6)
22:18:49 [ServerList] GameServer offline (Sala Principal) (6)
22:18:56 [ServerList] GameServer online (Sala Principal) (6)
22:19:09 [ServerList] GameServer offline (Sala Principal) (6)
22:19:30 [ServerList] GameServer online (Sala Principal) (6)
22:20:36 [ServerList] GameServer offline (Sala Principal) (6)
22:21:19 [ServerList] GameServer online (Sala Principal) (6)
22:21:45 [ServerList] GameServer offline (Sala Principal) (6)
22:22:04 [ServerList] GameServer online (Sala Principal) (6)
22:27:17 [ServerList] GameServer offline (Sala Principal) (6)
22:27:49 [ServerList] GameServer online (Sala Principal) (6)
22:28:53 [ServerList] GameServer offline (Sala Principal) (6)
22:29:14 [ServerList] GameServer online (Sala Principal) (6)
22:29:29 [ServerList] GameServer offline (Sala Principal) (6)
22:29:39 [ServerList] GameServer online (Sala Principal) (6)
22:29:51 [ServerList] GameServer offline (Sala Principal) (6)
22:30:03 [ServerList] GameServer online (Sala Principal) (6)
22:30:21 [ServerList] GameServer offline (Sala Principal) (6)
22:30:43 [ServerList] GameServer online (Sala Principal) (6)
22:30:56 [ServerList] GameServer offline (Sala Principal) (6)
22:31:16 [ServerList] GameServer online (Sala Principal) (6)
23:00:33 [ServerList] GameServer offline (Sala Principal) (6)
23:01:39 [ServerList] GameServer online (Sala Principal) (6)
23:07:05 [ServerList] GameServer offline (Sala Principal) (6)
23:07:34 [ServerList] GameServer online (Sala Principal) (6)
23:35:20 [ServerList] GameServer offline (Sala Principal) (6)
23:35:34 [ServerList] GameServer online (Sala Principal) (6)
23:36:55 [ServerList] GameServer offline (Sala Principal) (6)
23:37:15 [ServerList] GameServer online (Sala Principal) (6)
23:40:28 [ServerList] GameServer offline (Sala Principal) (6)
23:40:40 [ServerList] GameServer online (Sala Principal) (6)
23:41:08 [ServerList] GameServer offline (Sala Principal) (6)
23:45:07 [ServerList] GameServer online (Sala Principal) (6)
23:46:10 [ServerList] GameServer offline (Sala Principal) (6)
23:46:35 [ServerList] GameServer online (Sala Principal) (6)
23:47:47 [ServerList] GameServer offline (Sala Principal) (6)
23:48:18 [ServerList] GameServer online (Sala Principal) (6)
