17:49:46 [AccountInfo] Account connected (Account: teste, IpAddress: 177.39.98.15, GameServerCode: 0)
17:52:36 [AccountInfo] Account disconnected (Account: teste, IpAddress: 177.39.98.15, GameServerCode: 0)
17:52:53 [AccountInfo] Account connected (Account: teste, IpAddress: 177.39.98.15, GameServerCode: 0)
17:54:00 [AccountInfo] Account disconnected (Account: teste, IpAddress: 177.39.98.15, GameServerCode: 0)
17:57:14 [AccountInfo] Account connected (Account: wall, IpAddress: 177.39.98.15, GameServerCode: 0)
17:57:44 [AccountInfo] Account disconnected by clear (Account: wall, IpAddress: 177.39.98.15, GameServerCode: 0)
17:58:24 [AccountInfo] Account connected (Account: wall, IpAddress: 177.39.98.15, GameServerCode: 0)
18:03:51 [AccountInfo] Account disconnected (Account: wall, IpAddress: 177.39.98.15, GameServerCode: 0)
18:14:47 [AccountInfo] Account connected (Account: wall, IpAddress: 177.39.98.15, GameServerCode: 0)
18:47:26 [AccountInfo] Account disconnected by clear (Account: wall, IpAddress: 177.39.98.15, GameServerCode: 0)
18:48:06 [AccountInfo] Account connected (Account: wall, IpAddress: 177.39.98.15, GameServerCode: 0)
18:48:25 [AccountInfo] Account disconnected by clear (Account: wall, IpAddress: 177.39.98.15, GameServerCode: 0)
18:57:15 [AccountInfo] Account connected (Account: wall, IpAddress: 177.39.98.15, GameServerCode: 0)
18:59:14 [AccountInfo] Account disconnected (Account: wall, IpAddress: 177.39.98.15, GameServerCode: 0)
18:59:42 [AccountInfo] Account connected (Account: wall, IpAddress: 177.39.98.15, GameServerCode: 0)
18:59:51 [AccountInfo] Account disconnected (Account: wall, IpAddress: 177.39.98.15, GameServerCode: 0)
19:02:57 [AccountInfo] Account connected (Account: wall, IpAddress: 177.39.98.15, GameServerCode: 0)
20:18:25 [AccountInfo] Account disconnected by clear (Account: wall, IpAddress: 177.39.98.15, GameServerCode: 0)
20:19:05 [AccountInfo] Account connected (Account: wall, IpAddress: 177.39.98.15, GameServerCode: 0)
20:19:36 [AccountInfo] Account disconnected (Account: wall, IpAddress: 177.39.98.15, GameServerCode: 0)
20:19:41 [AccountInfo] Account connected (Account: wall, IpAddress: 177.39.98.15, GameServerCode: 0)
20:21:24 [AccountInfo] Account disconnected by clear (Account: wall, IpAddress: 177.39.98.15, GameServerCode: 0)
21:12:19 [AccountInfo] Account connected (Account: wall, IpAddress: 177.39.98.15, GameServerCode: 31)
21:12:19 [AccountInfo] Account disconnected (Account: wall, IpAddress: 177.39.98.15, GameServerCode: 31)
