00:02:26 [AccountInfo] Account disconnected by clear (Account: wall, IpAddress: 177.39.98.15, GameServerCode: 1)
00:04:37 [AccountInfo] Account connected (Account: wall, IpAddress: 177.39.98.15, GameServerCode: 1)
00:13:22 [AccountInfo] Account disconnected (Account: wall, IpAddress: 177.39.98.15, GameServerCode: 1)
00:13:25 [AccountInfo] Account connected (Account: wall, IpAddress: 177.39.98.15, GameServerCode: 1)
00:16:56 [AccountInfo] Account disconnected (Account: wall, IpAddress: 177.39.98.15, GameServerCode: 1)
00:23:14 [AccountInfo] Account connected (Account: wall, IpAddress: 177.39.98.15, GameServerCode: 1)
00:24:44 [AccountInfo] Account disconnected by clear (Account: wall, IpAddress: 177.39.98.15, GameServerCode: 1)
00:25:15 [AccountInfo] Account connected (Account: wall, IpAddress: 177.39.98.15, GameServerCode: 1)
00:29:54 [AccountInfo] Account disconnected by clear (Account: wall, IpAddress: 177.39.98.15, GameServerCode: 1)
00:31:31 [AccountInfo] Account connected (Account: wall, IpAddress: 177.39.98.15, GameServerCode: 1)
00:32:01 [AccountInfo] Account disconnected (Account: wall, IpAddress: 177.39.98.15, GameServerCode: 1)
00:33:21 [AccountInfo] Account connected (Account: wall, IpAddress: 177.39.98.15, GameServerCode: 1)
00:34:18 [AccountInfo] Account disconnected (Account: wall, IpAddress: 177.39.98.15, GameServerCode: 1)
00:34:23 [AccountInfo] Account connected (Account: admin, IpAddress: 177.39.98.15, GameServerCode: 1)
00:39:37 [AccountInfo] Account disconnected (Account: admin, IpAddress: 177.39.98.15, GameServerCode: 1)
00:39:49 [AccountInfo] Account connected (Account: admin, IpAddress: 177.39.98.15, GameServerCode: 1)
00:39:57 [AccountInfo] Account disconnected by clear (Account: admin, IpAddress: 177.39.98.15, GameServerCode: 1)
00:40:37 [AccountInfo] Account connected (Account: admin, IpAddress: 177.39.98.15, GameServerCode: 1)
01:01:08 [AccountInfo] Account disconnected (Account: admin, IpAddress: 177.39.98.15, GameServerCode: 1)
