00:10:22 [AccountInfo] Account connected (Account: ymarchiori, IpAddress: 177.45.42.219, GameServerCode: 1)
09:18:28 [AccountInfo] Account disconnected (Account: admin, IpAddress: 177.39.98.14, GameServerCode: 1)
09:18:51 [AccountInfo] Account connected (Account: admin, IpAddress: 177.39.98.14, GameServerCode: 1)
09:24:23 [AccountInfo] Account disconnected (Account: admin, IpAddress: 177.39.98.14, GameServerCode: 1)
09:25:08 [AccountInfo] Account connected (Account: admin, IpAddress: 177.39.98.14, GameServerCode: 1)
11:10:12 [AccountInfo] Account disconnected (Account: admin, IpAddress: 177.39.98.14, GameServerCode: 1)
11:10:17 [AccountInfo] Account connected (Account: enctype2, IpAddress: 177.39.98.14, GameServerCode: 1)
11:11:04 [AccountInfo] Account disconnected (Account: enctype2, IpAddress: 177.39.98.14, GameServerCode: 1)
11:11:08 [AccountInfo] Account connected (Account: admin, IpAddress: 177.39.98.14, GameServerCode: 1)
12:26:31 [AccountInfo] Account disconnected by clear (Account: admin, IpAddress: 177.39.98.14, GameServerCode: 1)
12:26:31 [AccountInfo] Account disconnected by clear (Account: ymarchiori, IpAddress: 177.45.42.219, GameServerCode: 1)
12:28:24 [AccountInfo] Account connected (Account: admin, IpAddress: 177.39.98.14, GameServerCode: 1)
12:33:57 [AccountInfo] Account disconnected (Account: admin, IpAddress: 177.39.98.14, GameServerCode: 1)
12:34:37 [AccountInfo] Account connected (Account: admin, IpAddress: 177.39.98.14, GameServerCode: 1)
12:37:30 [AccountInfo] Account disconnected (Account: admin, IpAddress: 177.39.98.14, GameServerCode: 1)
12:37:48 [AccountInfo] Account connected (Account: admin, IpAddress: 177.39.98.14, GameServerCode: 1)
12:41:29 [AccountInfo] Account disconnected (Account: admin, IpAddress: 177.39.98.14, GameServerCode: 1)
12:42:07 [AccountInfo] Account connected (Account: admin, IpAddress: 177.39.98.14, GameServerCode: 1)
12:43:10 [AccountInfo] Account disconnected (Account: admin, IpAddress: 177.39.98.14, GameServerCode: 1)
12:43:30 [AccountInfo] Account connected (Account: admin, IpAddress: 177.39.98.14, GameServerCode: 1)
12:43:36 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 1)
12:45:53 [AccountInfo] Account disconnected (Account: admin, IpAddress: 177.39.98.14, GameServerCode: 1)
12:46:19 [AccountInfo] Account connected (Account: admin, IpAddress: 177.39.98.14, GameServerCode: 1)
16:50:33 [AccountInfo] Account connected (Account: ymarchiori, IpAddress: 177.45.42.219, GameServerCode: 1)
20:18:04 [AccountInfo] Account disconnected (Account: ymarchiori, IpAddress: 177.45.42.219, GameServerCode: 1)
20:18:06 [AccountInfo] Account connected (Account: ymarchiori, IpAddress: 177.45.42.219, GameServerCode: 1)
21:50:59 [AccountInfo] Account disconnected (Account: ymarchiori, IpAddress: 177.45.42.219, GameServerCode: 1)
21:51:01 [AccountInfo] Account connected (Account: ymarchiori, IpAddress: 177.45.42.219, GameServerCode: 1)
