00:03:27 [AccountInfo] Account disconnected by clear (Account: wall4, IpAddress: 177.39.98.23, GameServerCode: 1)
00:04:06 [AccountInfo] Account connected (Account: wall4, IpAddress: 177.39.98.23, GameServerCode: 1)
00:05:03 [AccountInfo] Account disconnected by clear (Account: wall4, IpAddress: 177.39.98.23, GameServerCode: 1)
00:05:43 [AccountInfo] Account connected (Account: wall4, IpAddress: 177.39.98.23, GameServerCode: 1)
00:07:22 [AccountInfo] Account disconnected by clear (Account: wall4, IpAddress: 177.39.98.23, GameServerCode: 1)
00:08:10 [AccountInfo] Account connected (Account: wall4, IpAddress: 177.39.98.23, GameServerCode: 1)
00:10:33 [AccountInfo] Account disconnected by clear (Account: wall4, IpAddress: 177.39.98.23, GameServerCode: 1)
00:10:52 [AccountInfo] Account connected (Account: wall4, IpAddress: 177.39.98.23, GameServerCode: 1)
00:14:24 [AccountInfo] Account disconnected by clear (Account: wall4, IpAddress: 177.39.98.23, GameServerCode: 1)
00:15:04 [AccountInfo] Account connected (Account: wall4, IpAddress: 177.39.98.23, GameServerCode: 1)
00:16:43 [AccountInfo] Account disconnected by clear (Account: wall4, IpAddress: 177.39.98.23, GameServerCode: 1)
00:17:23 [AccountInfo] Account connected (Account: wall4, IpAddress: 177.39.98.23, GameServerCode: 1)
00:17:40 [AccountInfo] Account disconnected by clear (Account: wall4, IpAddress: 177.39.98.23, GameServerCode: 1)
00:18:21 [AccountInfo] Account connected (Account: wall4, IpAddress: 177.39.98.23, GameServerCode: 1)
00:18:23 [AccountInfo] Account disconnected by clear (Account: wall4, IpAddress: 177.39.98.23, GameServerCode: 1)
00:19:03 [AccountInfo] Account connected (Account: wall4, IpAddress: 177.39.98.23, GameServerCode: 1)
00:23:39 [AccountInfo] Account disconnected (Account: wall4, IpAddress: 177.39.98.23, GameServerCode: 1)
00:23:43 [AccountInfo] Account connected (Account: admin, IpAddress: 177.39.98.23, GameServerCode: 1)
00:24:15 [AccountInfo] Account disconnected by clear (Account: admin, IpAddress: 177.39.98.23, GameServerCode: 1)
00:24:55 [AccountInfo] Account connected (Account: admin, IpAddress: 177.39.98.23, GameServerCode: 1)
00:25:20 [AccountInfo] Account disconnected by clear (Account: admin, IpAddress: 177.39.98.23, GameServerCode: 1)
00:26:30 [AccountInfo] Account connected (Account: admin, IpAddress: 177.39.98.23, GameServerCode: 1)
10:38:56 [AccountInfo] Account disconnected (Account: admin, IpAddress: 177.39.98.23, GameServerCode: 1)
10:39:15 [AccountInfo] Account connected (Account: admin, IpAddress: 177.39.98.23, GameServerCode: 1)
14:24:30 [AccountInfo] Account disconnected (Account: admin, IpAddress: 177.39.98.23, GameServerCode: 1)
14:25:14 [AccountInfo] Account connected (Account: admin, IpAddress: 177.39.98.23, GameServerCode: 1)
14:43:09 [AccountInfo] Account disconnected (Account: admin, IpAddress: 177.39.98.23, GameServerCode: 1)
14:44:20 [AccountInfo] Account connected (Account: admin, IpAddress: 177.39.98.23, GameServerCode: 1)
14:50:38 [AccountInfo] Account disconnected (Account: admin, IpAddress: 177.39.98.23, GameServerCode: 1)
14:50:42 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
15:31:05 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 1)
15:39:55 [AccountInfo] Account disconnected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 1)
15:39:58 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 1)
15:50:32 [AccountInfo] Account disconnected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 1)
15:51:12 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 1)
15:56:26 [AccountInfo] Account disconnected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 1)
15:57:06 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 1)
16:19:34 [AccountInfo] Account disconnected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 1)
