00:12:29 [AccountInfo] Account disconnected (Account: ymarchiori, IpAddress: 177.45.42.219, GameServerCode: 1)
00:39:14 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
00:39:29 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
00:48:55 [AccountInfo] Account connected (Account: admin, IpAddress: 177.39.98.23, GameServerCode: 1)
00:51:52 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
00:51:54 [AccountInfo] Account disconnected (Account: admin, IpAddress: 177.39.98.23, GameServerCode: 1)
00:52:10 [AccountInfo] Account connected (Account: admin, IpAddress: 177.39.98.23, GameServerCode: 1)
00:52:19 [AccountInfo] Account disconnected (Account: admin, IpAddress: 177.39.98.23, GameServerCode: 1)
00:52:23 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
00:56:41 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
00:57:21 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
01:01:18 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
01:02:02 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
01:03:30 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
01:03:44 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
10:44:20 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
12:09:33 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
12:09:55 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
12:29:10 [AccountInfo] Account disconnected by clear (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
12:29:50 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
12:30:06 [AccountInfo] Account disconnected by clear (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
12:30:46 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
12:31:07 [AccountInfo] Account disconnected by clear (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
12:31:47 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
13:15:49 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
13:15:52 [AccountInfo] Account connected (Account: admin, IpAddress: 177.39.98.23, GameServerCode: 1)
14:51:07 [AccountInfo] Account connected (Account: wall, IpAddress: 177.39.98.23, GameServerCode: 1)
14:53:29 [AccountInfo] Account disconnected (Account: admin, IpAddress: 177.39.98.23, GameServerCode: 1)
14:54:10 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
15:28:48 [AccountInfo] Account disconnected (Account: wall, IpAddress: 177.39.98.23, GameServerCode: 1)
16:26:03 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
16:26:18 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
20:37:26 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
20:40:37 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
20:44:14 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
20:55:29 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
21:05:23 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
21:05:30 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 0)
21:08:40 [AccountInfo] Account disconnected by clear (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 0)
21:09:20 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 0)
21:12:27 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 0)
21:13:40 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 0)
22:32:33 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 0)
22:33:57 [AccountInfo] Account connected (Account: admin, IpAddress: 79.127.208.26, GameServerCode: 31)
22:34:03 [AccountInfo] Account disconnected (Account: admin, IpAddress: 79.127.208.26, GameServerCode: 31)
22:38:09 [AccountInfo] Account connected (Account: dhyan, IpAddress: 79.127.208.26, GameServerCode: 0)
22:44:25 [AccountInfo] Account disconnected (Account: dhyan, IpAddress: 79.127.208.26, GameServerCode: 0)
22:44:31 [AccountInfo] Account connected (Account: dhyan, IpAddress: 79.127.208.26, GameServerCode: 31)
22:44:31 [AccountInfo] Account disconnected (Account: dhyan, IpAddress: 79.127.208.26, GameServerCode: 31)
22:44:35 [AccountInfo] Account connected (Account: dhyan, IpAddress: 79.127.208.26, GameServerCode: 1)
22:45:01 [AccountInfo] Account disconnected (Account: dhyan, IpAddress: 79.127.208.26, GameServerCode: 1)
22:45:42 [AccountInfo] Account connected (Account: dhyan, IpAddress: 79.127.208.26, GameServerCode: 1)
22:47:23 [AccountInfo] Account connected (Account: de157, IpAddress: 177.124.2.28, GameServerCode: 31)
22:47:23 [AccountInfo] Account disconnected (Account: de157, IpAddress: 177.124.2.28, GameServerCode: 31)
22:47:37 [AccountInfo] Account connected (Account: de157, IpAddress: 177.124.2.28, GameServerCode: 31)
22:47:37 [AccountInfo] Account disconnected (Account: de157, IpAddress: 177.124.2.28, GameServerCode: 31)
22:47:47 [AccountInfo] Account connected (Account: de157, IpAddress: 177.124.2.28, GameServerCode: 0)
22:48:07 [AccountInfo] Account disconnected (Account: de157, IpAddress: 177.124.2.28, GameServerCode: 0)
22:48:46 [AccountInfo] Account connected (Account: de157, IpAddress: 177.124.2.28, GameServerCode: 0)
22:50:36 [AccountInfo] Account disconnected (Account: dhyan, IpAddress: 79.127.208.26, GameServerCode: 1)
22:50:38 [AccountInfo] Account connected (Account: dhyan, IpAddress: 79.127.208.26, GameServerCode: 0)
22:50:50 [AccountInfo] Account disconnected (Account: dhyan, IpAddress: 79.127.208.26, GameServerCode: 0)
22:50:57 [AccountInfo] Account connected (Account: dhyan, IpAddress: 79.127.208.26, GameServerCode: 0)
22:59:34 [AccountInfo] Account disconnected (Account: dhyan, IpAddress: 79.127.208.26, GameServerCode: 0)
22:59:39 [AccountInfo] Account connected (Account: dhyan, IpAddress: 79.127.208.26, GameServerCode: 31)
22:59:39 [AccountInfo] Account disconnected (Account: dhyan, IpAddress: 79.127.208.26, GameServerCode: 31)
22:59:44 [AccountInfo] Account connected (Account: dhyan2, IpAddress: 79.127.208.26, GameServerCode: 31)
22:59:44 [AccountInfo] Account disconnected (Account: dhyan2, IpAddress: 79.127.208.26, GameServerCode: 31)
22:59:52 [AccountInfo] Account connected (Account: dhyan, IpAddress: 79.127.208.26, GameServerCode: 0)
23:00:15 [AccountInfo] Account disconnected (Account: dhyan, IpAddress: 79.127.208.26, GameServerCode: 0)
23:04:10 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 0)
23:04:39 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 0)
23:59:07 [AccountInfo] Account connected (Account: admin, IpAddress: 177.33.140.100, GameServerCode: 0)
