00:00:52 [AccountInfo] Account disconnected (Account: de157, IpAddress: 177.124.2.28, GameServerCode: 0)
00:27:59 [AccountInfo] Account disconnected (Account: admin, IpAddress: 177.33.140.100, GameServerCode: 0)
00:28:05 [AccountInfo] Account connected (Account: admin, IpAddress: 177.33.140.100, GameServerCode: 31)
00:28:08 [AccountInfo] Account disconnected (Account: admin, IpAddress: 177.33.140.100, GameServerCode: 31)
00:51:09 [AccountInfo] Account connected (Account: admin, IpAddress: 177.33.140.100, GameServerCode: 31)
00:51:12 [AccountInfo] Account disconnected (Account: admin, IpAddress: 177.33.140.100, GameServerCode: 31)
00:57:08 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.33.140.100, GameServerCode: 0)
00:58:29 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.33.140.100, GameServerCode: 0)
00:58:34 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.33.140.100, GameServerCode: 1)
01:49:37 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.33.140.100, GameServerCode: 1)
01:52:50 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.33.140.100, GameServerCode: 1)
02:44:20 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.33.140.100, GameServerCode: 1)
08:22:54 [AccountInfo] Account connected (Account: admin, IpAddress: 177.39.98.23, GameServerCode: 0)
08:23:12 [AccountInfo] Account disconnected (Account: admin, IpAddress: 177.39.98.23, GameServerCode: 0)
08:23:56 [AccountInfo] Account connected (Account: admin, IpAddress: 177.39.98.23, GameServerCode: 0)
08:46:41 [AccountInfo] Account disconnected (Account: admin, IpAddress: 177.39.98.23, GameServerCode: 0)
11:46:08 [AccountInfo] Account connected (Account: admin, IpAddress: 38.43.85.151, GameServerCode: 19)
11:46:10 [AccountInfo] Account disconnected (Account: admin, IpAddress: 38.43.85.151, GameServerCode: 19)
11:47:48 [AccountInfo] Account connected (Account: admin, IpAddress: 38.43.85.151, GameServerCode: 31)
11:47:50 [AccountInfo] Account disconnected (Account: admin, IpAddress: 38.43.85.151, GameServerCode: 31)
11:50:43 [AccountInfo] Account connected (Account: admin, IpAddress: 38.43.85.151, GameServerCode: 0)
11:50:46 [AccountInfo] Account disconnected (Account: admin, IpAddress: 38.43.85.151, GameServerCode: 0)
11:51:36 [AccountInfo] Account connected (Account: admin, IpAddress: 38.43.85.151, GameServerCode: 1)
11:51:40 [AccountInfo] Account disconnected (Account: admin, IpAddress: 38.43.85.151, GameServerCode: 1)
11:52:03 [AccountInfo] Account connected (Account: admin, IpAddress: 38.43.85.151, GameServerCode: 31)
11:52:05 [AccountInfo] Account disconnected (Account: admin, IpAddress: 38.43.85.151, GameServerCode: 31)
11:54:30 [AccountInfo] Account connected (Account: admin, IpAddress: 38.43.85.151, GameServerCode: 34)
11:54:32 [AccountInfo] Account disconnected (Account: admin, IpAddress: 38.43.85.151, GameServerCode: 34)
11:55:27 [AccountInfo] Account connected (Account: admin, IpAddress: 38.43.85.151, GameServerCode: 34)
11:55:29 [AccountInfo] Account disconnected (Account: admin, IpAddress: 38.43.85.151, GameServerCode: 34)
11:56:54 [AccountInfo] Account connected (Account: admin, IpAddress: 38.43.85.151, GameServerCode: 31)
11:56:56 [AccountInfo] Account disconnected (Account: admin, IpAddress: 38.43.85.151, GameServerCode: 31)
11:58:32 [AccountInfo] Account connected (Account: admin, IpAddress: 38.43.85.151, GameServerCode: 32)
11:58:34 [AccountInfo] Account disconnected (Account: admin, IpAddress: 38.43.85.151, GameServerCode: 32)
12:00:25 [AccountInfo] Account connected (Account: admin, IpAddress: 38.43.85.151, GameServerCode: 0)
12:00:29 [AccountInfo] Account disconnected (Account: admin, IpAddress: 38.43.85.151, GameServerCode: 0)
12:00:57 [AccountInfo] Account connected (Account: admin, IpAddress: 38.43.85.151, GameServerCode: 12)
12:01:30 [AccountInfo] Account disconnected by clear (Account: admin, IpAddress: 38.43.85.151, GameServerCode: 12)
12:06:01 [AccountInfo] Account connected (Account: admin, IpAddress: 38.43.85.151, GameServerCode: 12)
12:07:38 [AccountInfo] Account disconnected (Account: admin, IpAddress: 38.43.85.151, GameServerCode: 12)
12:07:54 [AccountInfo] Account connected (Account: admin, IpAddress: 38.43.85.151, GameServerCode: 0)
12:08:03 [AccountInfo] Account disconnected (Account: admin, IpAddress: 38.43.85.151, GameServerCode: 0)
12:11:30 [AccountInfo] Account connected (Account: admin, IpAddress: 38.43.85.151, GameServerCode: 31)
12:11:33 [AccountInfo] Account disconnected (Account: admin, IpAddress: 38.43.85.151, GameServerCode: 31)
12:13:06 [AccountInfo] Account connected (Account: admin, IpAddress: 38.43.85.151, GameServerCode: 12)
12:13:07 [AccountInfo] Account disconnected (Account: admin, IpAddress: 38.43.85.151, GameServerCode: 12)
12:17:18 [AccountInfo] Account connected (Account: admin, IpAddress: 38.43.85.151, GameServerCode: 20)
12:18:04 [AccountInfo] Account disconnected (Account: admin, IpAddress: 38.43.85.151, GameServerCode: 20)
12:19:22 [AccountInfo] Account connected (Account: admin, IpAddress: 38.43.85.151, GameServerCode: 11)
12:19:37 [AccountInfo] Account disconnected by clear (Account: admin, IpAddress: 38.43.85.151, GameServerCode: 11)
12:20:43 [AccountInfo] Account connected (Account: admin, IpAddress: 38.43.85.151, GameServerCode: 31)
12:24:17 [AccountInfo] Account disconnected (Account: admin, IpAddress: 38.43.85.151, GameServerCode: 31)
12:24:22 [AccountInfo] Account connected (Account: admin, IpAddress: 38.43.85.151, GameServerCode: 31)
12:24:32 [AccountInfo] Account disconnected (Account: admin, IpAddress: 38.43.85.151, GameServerCode: 31)
12:24:39 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 31)
12:31:48 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 31)
14:38:11 [AccountInfo] Account connected (Account: bagulho, IpAddress: 187.57.47.61, GameServerCode: 31)
14:38:11 [AccountInfo] Account disconnected (Account: bagulho, IpAddress: 187.57.47.61, GameServerCode: 31)
14:38:14 [AccountInfo] Account connected (Account: bagulho, IpAddress: 187.57.47.61, GameServerCode: 31)
14:38:14 [AccountInfo] Account disconnected (Account: bagulho, IpAddress: 187.57.47.61, GameServerCode: 31)
14:38:26 [AccountInfo] Account connected (Account: bagulho, IpAddress: 187.57.47.61, GameServerCode: 31)
14:38:26 [AccountInfo] Account disconnected (Account: bagulho, IpAddress: 187.57.47.61, GameServerCode: 31)
14:38:27 [AccountInfo] Account connected (Account: bagulho, IpAddress: 187.57.47.61, GameServerCode: 31)
14:38:27 [AccountInfo] Account disconnected (Account: bagulho, IpAddress: 187.57.47.61, GameServerCode: 31)
14:38:28 [AccountInfo] Account connected (Account: bagulho, IpAddress: 187.57.47.61, GameServerCode: 31)
14:38:28 [AccountInfo] Account disconnected (Account: bagulho, IpAddress: 187.57.47.61, GameServerCode: 31)
14:38:28 [AccountInfo] Account connected (Account: bagulho, IpAddress: 187.57.47.61, GameServerCode: 31)
14:38:28 [AccountInfo] Account disconnected (Account: bagulho, IpAddress: 187.57.47.61, GameServerCode: 31)
14:38:36 [AccountInfo] Account connected (Account: bagulho, IpAddress: 187.57.47.61, GameServerCode: 0)
14:38:58 [AccountInfo] Account disconnected (Account: bagulho, IpAddress: 187.57.47.61, GameServerCode: 0)
14:43:10 [AccountInfo] Account connected (Account: bagulho, IpAddress: 187.57.47.61, GameServerCode: 1)
14:43:41 [AccountInfo] Account disconnected (Account: bagulho, IpAddress: 187.57.47.61, GameServerCode: 1)
14:53:19 [AccountInfo] Account connected (Account: bagulho, IpAddress: 187.57.47.61, GameServerCode: 1)
14:56:26 [AccountInfo] Account disconnected (Account: bagulho, IpAddress: 187.57.47.61, GameServerCode: 1)
14:56:34 [AccountInfo] Account connected (Account: portuga, IpAddress: 187.57.47.61, GameServerCode: 0)
14:57:50 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 187.57.47.61, GameServerCode: 0)
14:58:00 [AccountInfo] Account connected (Account: bagulho, IpAddress: 187.57.47.61, GameServerCode: 0)
15:10:56 [AccountInfo] Account disconnected (Account: bagulho, IpAddress: 187.57.47.61, GameServerCode: 0)
15:11:01 [AccountInfo] Account connected (Account: bagulho, IpAddress: 187.57.47.61, GameServerCode: 1)
15:27:34 [AccountInfo] Account disconnected (Account: bagulho, IpAddress: 187.57.47.61, GameServerCode: 1)
15:31:22 [AccountInfo] Account connected (Account: bagulho, IpAddress: 187.57.47.61, GameServerCode: 1)
15:36:30 [AccountInfo] Account connected (Account: portuga, IpAddress: 187.57.47.61, GameServerCode: 1)
18:58:50 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 187.57.47.61, GameServerCode: 1)
18:59:01 [AccountInfo] Account disconnected (Account: bagulho, IpAddress: 187.57.47.61, GameServerCode: 1)
20:22:20 [AccountInfo] Account connected (Account: portuga, IpAddress: 187.57.47.61, GameServerCode: 1)
20:27:40 [AccountInfo] Account connected (Account: bagulho, IpAddress: 187.57.47.61, GameServerCode: 1)
22:04:53 [AccountInfo] Account disconnected (Account: bagulho, IpAddress: 187.57.47.61, GameServerCode: 1)
22:04:53 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 187.57.47.61, GameServerCode: 1)
22:43:08 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 31)
22:43:21 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 31)
22:43:50 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 31)
22:43:53 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 31)
22:54:34 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 41)
22:55:03 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 41)
22:56:55 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 0)
22:57:01 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 0)
23:08:43 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 6)
23:08:50 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 6)
23:13:53 [AccountInfo] Account connected (Account: bagulho, IpAddress: 177.33.140.100, GameServerCode: 6)
23:14:05 [AccountInfo] Account disconnected (Account: bagulho, IpAddress: 177.33.140.100, GameServerCode: 6)
23:14:18 [AccountInfo] Account connected (Account: bagulho, IpAddress: 177.33.140.100, GameServerCode: 6)
23:22:54 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.33.140.100, GameServerCode: 6)
23:27:11 [AccountInfo] Account connected (Account: hard, IpAddress: 38.43.85.151, GameServerCode: 27)
23:27:20 [AccountInfo] Account disconnected (Account: hard, IpAddress: 38.43.85.151, GameServerCode: 27)
23:27:22 [AccountInfo] Account connected (Account: hard, IpAddress: 38.43.85.151, GameServerCode: 6)
23:27:31 [AccountInfo] Account disconnected (Account: hard, IpAddress: 38.43.85.151, GameServerCode: 6)
23:27:35 [AccountInfo] Account connected (Account: hard, IpAddress: 38.43.85.151, GameServerCode: 48)
23:28:04 [AccountInfo] Account disconnected (Account: hard, IpAddress: 38.43.85.151, GameServerCode: 48)
23:37:16 [AccountInfo] Account disconnected (Account: bagulho, IpAddress: 177.33.140.100, GameServerCode: 6)
23:37:23 [AccountInfo] Account connected (Account: bagulho, IpAddress: 177.33.140.100, GameServerCode: 21)
23:37:37 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.33.140.100, GameServerCode: 6)
23:37:47 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.33.140.100, GameServerCode: 21)
23:40:13 [AccountInfo] Account connected (Account: hard, IpAddress: 38.43.85.151, GameServerCode: 21)
23:40:40 [AccountInfo] Account disconnected (Account: hard, IpAddress: 38.43.85.151, GameServerCode: 21)
23:43:44 [AccountInfo] Account disconnected (Account: bagulho, IpAddress: 177.33.140.100, GameServerCode: 21)
23:44:06 [AccountInfo] Account connected (Account: hard, IpAddress: 38.43.85.151, GameServerCode: 49)
23:44:22 [AccountInfo] Account connected (Account: bagulho, IpAddress: 177.33.140.100, GameServerCode: 21)
23:44:39 [AccountInfo] Account disconnected (Account: bagulho, IpAddress: 177.33.140.100, GameServerCode: 21)
23:44:40 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.33.140.100, GameServerCode: 21)
23:47:40 [AccountInfo] Account connected (Account: bagulho, IpAddress: 177.33.140.100, GameServerCode: 21)
23:49:43 [AccountInfo] Account disconnected (Account: hard, IpAddress: 38.43.85.151, GameServerCode: 49)
23:50:02 [AccountInfo] Account connected (Account: hard, IpAddress: 38.43.85.151, GameServerCode: 49)
