00:11:06 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
00:11:23 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
00:19:40 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
01:17:58 [AccountInfo] Account disconnected (Account: dhyan, IpAddress: 187.65.175.202, GameServerCode: 21)
03:23:33 [AccountInfo] Account disconnected (Account: bagulho, IpAddress: 177.33.140.100, GameServerCode: 21)
03:24:13 [AccountInfo] Account connected (Account: bagulho, IpAddress: 177.33.140.100, GameServerCode: 21)
08:04:41 [AccountInfo] Account disconnected (Account: bagulho, IpAddress: 177.33.140.100, GameServerCode: 21)
08:37:31 [AccountInfo] Account connected (Account: admin, IpAddress: 186.219.221.177, GameServerCode: 6)
08:41:26 [AccountInfo] Account disconnected (Account: admin, IpAddress: 186.219.221.177, GameServerCode: 6)
13:19:54 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
13:22:59 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
13:24:19 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
13:26:49 [AccountInfo] Account connected (Account: bagulho, IpAddress: 187.57.47.61, GameServerCode: 6)
13:26:58 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
13:27:41 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
13:31:18 [AccountInfo] Account disconnected (Account: bagulho, IpAddress: 187.57.47.61, GameServerCode: 6)
13:31:24 [AccountInfo] Account connected (Account: bagulho, IpAddress: 187.57.47.61, GameServerCode: 21)
13:39:58 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
13:41:53 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
15:26:35 [AccountInfo] Account disconnected (Account: bagulho, IpAddress: 187.57.47.61, GameServerCode: 21)
15:26:38 [AccountInfo] Account connected (Account: bagulho, IpAddress: 187.57.47.61, GameServerCode: 6)
15:27:14 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
15:27:42 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
15:40:38 [AccountInfo] Account disconnected (Account: bagulho, IpAddress: 187.57.47.61, GameServerCode: 6)
15:40:59 [AccountInfo] Account connected (Account: admin, IpAddress: 187.57.47.61, GameServerCode: 6)
15:41:48 [AccountInfo] Account disconnected (Account: admin, IpAddress: 187.57.47.61, GameServerCode: 6)
15:41:58 [AccountInfo] Account connected (Account: bagulho, IpAddress: 187.57.47.61, GameServerCode: 6)
15:53:47 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
15:54:07 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
15:58:20 [AccountInfo] Account connected (Account: bagulhozn, IpAddress: 187.57.47.61, GameServerCode: 6)
16:02:28 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
16:02:49 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
16:05:41 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
16:06:21 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
16:07:06 [AccountInfo] Account disconnected (Account: bagulho, IpAddress: 187.57.47.61, GameServerCode: 6)
16:07:09 [AccountInfo] Account connected (Account: bagulho, IpAddress: 187.57.47.61, GameServerCode: 21)
16:10:11 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
16:10:29 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
