00:00:42 [AccountInfo] Account disconnected (Account: genobr, IpAddress: 206.84.39.204, GameServerCode: 6)
00:01:36 [AccountInfo] Account connected (Account: genobr, IpAddress: 206.84.39.204, GameServerCode: 6)
00:02:01 [AccountInfo] Account disconnected (Account: genobr, IpAddress: 206.84.39.204, GameServerCode: 6)
00:02:47 [AccountInfo] Account connected (Account: genobr, IpAddress: 206.84.39.204, GameServerCode: 6)
00:04:32 [AccountInfo] Account disconnected (Account: genobr, IpAddress: 206.84.39.204, GameServerCode: 6)
00:09:46 [AccountInfo] Account disconnected by clear (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
00:10:26 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
00:20:56 [AccountInfo] Account connected (Account: genobr, IpAddress: 206.84.39.204, GameServerCode: 6)
00:27:14 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
00:27:31 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
00:34:49 [AccountInfo] Account disconnected (Account: genobr, IpAddress: 206.84.39.204, GameServerCode: 6)
07:52:19 [AccountInfo] Account disconnected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 6)
07:52:34 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 40)
08:07:38 [AccountInfo] Account connected (Account: admin, IpAddress: 187.180.188.111, GameServerCode: 40)
21:37:36 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
21:38:10 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
21:38:22 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
21:39:48 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
21:40:06 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
21:40:38 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
21:41:13 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
21:47:37 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
21:48:17 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
21:48:46 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
21:49:19 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
21:49:40 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
21:49:49 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
21:50:15 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
21:50:24 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
21:51:04 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
21:51:13 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
21:55:17 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
21:56:30 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
21:59:30 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
22:00:38 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
22:01:34 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
22:02:12 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
22:03:24 [AccountInfo] Account connected (Account: admin, IpAddress: 187.180.188.111, GameServerCode: 6)
22:05:41 [AccountInfo] Account disconnected (Account: admin, IpAddress: 187.180.188.111, GameServerCode: 6)
22:06:14 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
22:07:58 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
22:08:17 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
22:08:22 [AccountInfo] Account connected (Account: wall, IpAddress: 38.43.85.93, GameServerCode: 40)
