00:00:01 [AccountInfo] Account disconnected by clear (Account: admin, IpAddress: 177.39.98.14, GameServerCode: 40)
00:00:01 [AccountInfo] Account disconnected by clear (Account: portuga, IpAddress: 177.39.98.14, GameServerCode: 40)
00:00:41 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.14, GameServerCode: 40)
00:00:41 [AccountInfo] Account connected (Account: admin, IpAddress: 177.39.98.14, GameServerCode: 40)
00:15:02 [AccountInfo] Account disconnected (Account: admin, IpAddress: 177.39.98.14, GameServerCode: 40)
00:15:44 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.39.98.14, GameServerCode: 40)
00:15:54 [AccountInfo] Account connected (Account: admin, IpAddress: 177.39.98.14, GameServerCode: 6)
00:16:03 [AccountInfo] Account disconnected (Account: admin, IpAddress: 177.39.98.14, GameServerCode: 6)
00:16:08 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.14, GameServerCode: 40)
00:53:20 [AccountInfo] Account disconnected (Account: google780, IpAddress: 177.118.185.138, GameServerCode: 21)
00:53:22 [AccountInfo] Account connected (Account: google780, IpAddress: 177.118.185.138, GameServerCode: 21)
01:06:40 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.39.98.14, GameServerCode: 40)
01:06:43 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.14, GameServerCode: 6)
01:07:33 [AccountInfo] Account disconnected by clear (Account: portuga, IpAddress: 177.39.98.14, GameServerCode: 6)
01:07:47 [AccountInfo] Account connected (Account: hard, IpAddress: 177.39.98.14, GameServerCode: 6)
01:08:13 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.14, GameServerCode: 6)
01:19:03 [AccountInfo] Account disconnected by clear (Account: hard, IpAddress: 177.39.98.14, GameServerCode: 6)
01:19:03 [AccountInfo] Account disconnected by clear (Account: portuga, IpAddress: 177.39.98.14, GameServerCode: 6)
01:21:22 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.14, GameServerCode: 6)
