00:01:35 [AccountInfo] Account connected (Account: hard, IpAddress: 26.89.180.238, GameServerCode: 6)
00:02:39 [AccountInfo] Account disconnected (Account: hard, IpAddress: 26.89.180.238, GameServerCode: 6)
00:07:01 [AccountInfo] Account connected (Account: hard, IpAddress: 26.89.180.238, GameServerCode: 6)
00:09:04 [AccountInfo] Account disconnected (Account: hard, IpAddress: 26.89.180.238, GameServerCode: 6)
00:09:17 [AccountInfo] Account connected (Account: hard, IpAddress: 26.89.180.238, GameServerCode: 6)
00:10:10 [AccountInfo] Account disconnected (Account: hard, IpAddress: 26.89.180.238, GameServerCode: 6)
00:10:23 [AccountInfo] Account connected (Account: hard, IpAddress: 26.89.180.238, GameServerCode: 6)
00:10:50 [AccountInfo] Account disconnected (Account: hard, IpAddress: 26.89.180.238, GameServerCode: 6)
00:11:02 [AccountInfo] Account connected (Account: hard, IpAddress: 26.89.180.238, GameServerCode: 6)
00:46:03 [AccountInfo] Account disconnected (Account: hard, IpAddress: 26.89.180.238, GameServerCode: 6)
00:46:56 [AccountInfo] Account connected (Account: hard, IpAddress: 26.89.180.238, GameServerCode: 6)
00:54:04 [AccountInfo] Account disconnected (Account: hard, IpAddress: 26.89.180.238, GameServerCode: 6)
00:55:28 [AccountInfo] Account connected (Account: hard, IpAddress: 26.89.180.238, GameServerCode: 6)
00:59:00 [AccountInfo] Account disconnected (Account: hard, IpAddress: 26.89.180.238, GameServerCode: 6)
01:06:33 [AccountInfo] Account connected (Account: hard, IpAddress: 26.89.180.238, GameServerCode: 6)
01:07:03 [AccountInfo] Account disconnected (Account: hard, IpAddress: 26.89.180.238, GameServerCode: 6)
01:07:28 [AccountInfo] Account connected (Account: hard, IpAddress: 26.89.180.238, GameServerCode: 6)
01:09:06 [AccountInfo] Account connected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
01:09:08 [AccountInfo] Account disconnected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
01:09:18 [AccountInfo] Account connected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
01:09:33 [AccountInfo] Account disconnected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
01:11:51 [AccountInfo] Account disconnected (Account: hard, IpAddress: 26.89.180.238, GameServerCode: 6)
01:12:01 [AccountInfo] Account connected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
01:15:44 [AccountInfo] Account disconnected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
01:15:53 [AccountInfo] Account connected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
01:16:10 [AccountInfo] Account disconnected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
01:18:19 [AccountInfo] Account connected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
01:22:20 [AccountInfo] Account disconnected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
01:22:31 [AccountInfo] Account connected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
01:32:09 [AccountInfo] Account disconnected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
01:32:31 [AccountInfo] Account connected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
01:32:44 [AccountInfo] Account disconnected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
01:32:56 [AccountInfo] Account connected (Account: enctype2, IpAddress: 26.89.180.238, GameServerCode: 6)
01:35:39 [AccountInfo] Account disconnected (Account: enctype2, IpAddress: 26.89.180.238, GameServerCode: 6)
01:36:31 [AccountInfo] Account connected (Account: enctype2, IpAddress: 26.89.180.238, GameServerCode: 6)
01:37:05 [AccountInfo] Account disconnected (Account: enctype2, IpAddress: 26.89.180.238, GameServerCode: 6)
01:37:40 [AccountInfo] Account connected (Account: enctype2, IpAddress: 26.89.180.238, GameServerCode: 6)
01:38:33 [AccountInfo] Account disconnected (Account: enctype2, IpAddress: 26.89.180.238, GameServerCode: 6)
01:38:48 [AccountInfo] Account connected (Account: enctype2, IpAddress: 26.89.180.238, GameServerCode: 6)
01:39:24 [AccountInfo] Account disconnected (Account: enctype2, IpAddress: 26.89.180.238, GameServerCode: 6)
01:39:43 [AccountInfo] Account connected (Account: enctype2, IpAddress: 26.89.180.238, GameServerCode: 6)
01:43:13 [AccountInfo] Account disconnected (Account: enctype2, IpAddress: 26.89.180.238, GameServerCode: 6)
