00:09:24 [AccountInfo] Account connected (Account: wallace, IpAddress: 26.89.180.238, GameServerCode: 6)
00:10:43 [AccountInfo] Account disconnected (Account: wallace, IpAddress: 26.89.180.238, GameServerCode: 6)
00:10:45 [AccountInfo] Account connected (Account: wallace, IpAddress: 26.89.180.238, GameServerCode: 6)
00:13:28 [AccountInfo] Account disconnected by clear (Account: wallace, IpAddress: 26.89.180.238, GameServerCode: 6)
00:14:08 [AccountInfo] Account connected (Account: wallace, IpAddress: 26.89.180.238, GameServerCode: 6)
00:14:38 [AccountInfo] Account disconnected (Account: wallace, IpAddress: 26.89.180.238, GameServerCode: 6)
00:14:41 [AccountInfo] Account connected (Account: wallace, IpAddress: 26.89.180.238, GameServerCode: 6)
00:31:10 [AccountInfo] Account disconnected by clear (Account: wallace, IpAddress: 26.89.180.238, GameServerCode: 6)
00:37:19 [AccountInfo] Account connected (Account: wallace, IpAddress: 26.89.180.238, GameServerCode: 6)
00:47:27 [AccountInfo] Account disconnected (Account: wallace, IpAddress: 26.89.180.238, GameServerCode: 6)
00:47:29 [AccountInfo] Account connected (Account: wallace, IpAddress: 26.89.180.238, GameServerCode: 6)
00:51:22 [AccountInfo] Account disconnected (Account: wallace, IpAddress: 26.89.180.238, GameServerCode: 6)
01:07:07 [AccountInfo] Account connected (Account: wallace, IpAddress: 26.89.180.238, GameServerCode: 6)
01:08:33 [AccountInfo] Account disconnected (Account: wallace, IpAddress: 26.89.180.238, GameServerCode: 6)
01:08:49 [AccountInfo] Account connected (Account: usuario10, IpAddress: 26.89.180.238, GameServerCode: 6)
01:09:18 [AccountInfo] Account disconnected (Account: usuario10, IpAddress: 26.89.180.238, GameServerCode: 6)
01:09:20 [AccountInfo] Account connected (Account: usuario10, IpAddress: 26.89.180.238, GameServerCode: 6)
01:09:52 [AccountInfo] Account disconnected by clear (Account: usuario10, IpAddress: 26.89.180.238, GameServerCode: 6)
01:13:43 [AccountInfo] Account connected (Account: usuario10, IpAddress: 26.89.180.238, GameServerCode: 6)
01:14:07 [AccountInfo] Account disconnected (Account: usuario10, IpAddress: 26.89.180.238, GameServerCode: 6)
01:14:09 [AccountInfo] Account connected (Account: usuario10, IpAddress: 26.89.180.238, GameServerCode: 6)
01:19:34 [AccountInfo] Account disconnected (Account: usuario10, IpAddress: 26.89.180.238, GameServerCode: 6)
01:19:45 [AccountInfo] Account connected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
01:20:25 [AccountInfo] Account disconnected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
01:22:37 [AccountInfo] Account connected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
01:22:45 [AccountInfo] Account disconnected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
01:22:54 [AccountInfo] Account connected (Account: usuario10, IpAddress: 26.89.180.238, GameServerCode: 6)
01:24:11 [AccountInfo] Account disconnected (Account: usuario10, IpAddress: 26.89.180.238, GameServerCode: 6)
01:24:13 [AccountInfo] Account connected (Account: usuario10, IpAddress: 26.89.180.238, GameServerCode: 6)
01:27:28 [AccountInfo] Account disconnected by clear (Account: usuario10, IpAddress: 26.89.180.238, GameServerCode: 6)
01:30:53 [AccountInfo] Account connected (Account: usuario10, IpAddress: 26.89.180.238, GameServerCode: 6)
01:31:34 [AccountInfo] Account disconnected (Account: usuario10, IpAddress: 26.89.180.238, GameServerCode: 6)
01:31:37 [AccountInfo] Account connected (Account: usuario10, IpAddress: 26.89.180.238, GameServerCode: 6)
01:39:44 [AccountInfo] Account disconnected by clear (Account: usuario10, IpAddress: 26.89.180.238, GameServerCode: 6)
01:43:34 [AccountInfo] Account connected (Account: usuario10, IpAddress: 26.89.180.238, GameServerCode: 6)
01:45:47 [AccountInfo] Account disconnected (Account: usuario10, IpAddress: 26.89.180.238, GameServerCode: 6)
01:45:57 [AccountInfo] Account connected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
01:50:05 [AccountInfo] Account disconnected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
01:50:22 [AccountInfo] Account connected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
01:52:24 [AccountInfo] Account disconnected by clear (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
01:56:57 [AccountInfo] Account connected (Account: kalil, IpAddress: 26.89.180.238, GameServerCode: 6)
01:57:26 [AccountInfo] Account disconnected (Account: kalil, IpAddress: 26.89.180.238, GameServerCode: 6)
01:57:33 [AccountInfo] Account connected (Account: kalil, IpAddress: 26.89.180.238, GameServerCode: 6)
01:58:05 [AccountInfo] Account disconnected (Account: kalil, IpAddress: 26.89.180.238, GameServerCode: 6)
01:58:12 [AccountInfo] Account connected (Account: usuario10, IpAddress: 26.89.180.238, GameServerCode: 6)
01:59:44 [AccountInfo] Account disconnected by clear (Account: usuario10, IpAddress: 26.89.180.238, GameServerCode: 6)
02:02:24 [AccountInfo] Account connected (Account: hugo0244, IpAddress: 26.89.180.238, GameServerCode: 6)
02:09:19 [AccountInfo] Account disconnected (Account: hugo0244, IpAddress: 26.89.180.238, GameServerCode: 6)
02:12:03 [AccountInfo] Account connected (Account: hugo0244, IpAddress: 26.89.180.238, GameServerCode: 6)
02:26:39 [AccountInfo] Account disconnected (Account: hugo0244, IpAddress: 26.89.180.238, GameServerCode: 6)
02:27:56 [AccountInfo] Account connected (Account: hugo0244, IpAddress: 26.89.180.238, GameServerCode: 6)
02:38:30 [AccountInfo] Account disconnected by clear (Account: hugo0244, IpAddress: 26.89.180.238, GameServerCode: 6)
02:43:34 [AccountInfo] Account connected (Account: hugo0244, IpAddress: 26.89.180.238, GameServerCode: 6)
02:48:48 [AccountInfo] Account disconnected (Account: hugo0244, IpAddress: 26.89.180.238, GameServerCode: 6)
03:00:14 [AccountInfo] Account connected (Account: hugo0244, IpAddress: 26.89.180.238, GameServerCode: 6)
03:01:06 [AccountInfo] Account disconnected (Account: hugo0244, IpAddress: 26.89.180.238, GameServerCode: 6)
03:01:53 [AccountInfo] Account connected (Account: teste2, IpAddress: 26.89.180.238, GameServerCode: 6)
03:05:20 [AccountInfo] Account disconnected by clear (Account: teste2, IpAddress: 26.89.180.238, GameServerCode: 6)
03:06:01 [AccountInfo] Account connected (Account: teste2, IpAddress: 26.89.180.238, GameServerCode: 6)
03:06:27 [AccountInfo] Account disconnected by clear (Account: teste2, IpAddress: 26.89.180.238, GameServerCode: 6)
03:08:20 [AccountInfo] Account connected (Account: teste2, IpAddress: 26.89.180.238, GameServerCode: 6)
03:11:06 [AccountInfo] Account disconnected by clear (Account: teste2, IpAddress: 26.89.180.238, GameServerCode: 6)
03:11:46 [AccountInfo] Account connected (Account: teste2, IpAddress: 26.89.180.238, GameServerCode: 6)
03:12:11 [AccountInfo] Account disconnected (Account: teste2, IpAddress: 26.89.180.238, GameServerCode: 6)
03:12:24 [AccountInfo] Account connected (Account: teste2, IpAddress: 26.89.180.238, GameServerCode: 6)
03:16:05 [AccountInfo] Account disconnected by clear (Account: teste2, IpAddress: 26.89.180.238, GameServerCode: 6)
03:17:10 [AccountInfo] Account connected (Account: teste2, IpAddress: 26.89.180.238, GameServerCode: 6)
03:20:14 [AccountInfo] Account disconnected (Account: teste2, IpAddress: 26.89.180.238, GameServerCode: 6)
03:33:30 [AccountInfo] Account connected (Account: teste2, IpAddress: 26.89.180.238, GameServerCode: 6)
03:37:56 [AccountInfo] Account disconnected by clear (Account: teste2, IpAddress: 26.89.180.238, GameServerCode: 6)
03:39:30 [AccountInfo] Account connected (Account: teste2, IpAddress: 26.89.180.238, GameServerCode: 6)
03:43:41 [AccountInfo] Account disconnected by clear (Account: teste2, IpAddress: 26.89.180.238, GameServerCode: 6)
03:45:34 [AccountInfo] Account connected (Account: teste2, IpAddress: 26.89.180.238, GameServerCode: 6)
03:46:43 [AccountInfo] Account disconnected by clear (Account: teste2, IpAddress: 26.89.180.238, GameServerCode: 6)
03:47:29 [AccountInfo] Account connected (Account: teste2, IpAddress: 26.89.180.238, GameServerCode: 6)
03:50:22 [AccountInfo] Account disconnected by clear (Account: teste2, IpAddress: 26.89.180.238, GameServerCode: 6)
03:54:37 [AccountInfo] Account connected (Account: teste2, IpAddress: 26.89.180.238, GameServerCode: 6)
03:55:06 [AccountInfo] Account disconnected (Account: teste2, IpAddress: 26.89.180.238, GameServerCode: 6)
04:02:36 [AccountInfo] Account connected (Account: teste2, IpAddress: 26.89.180.238, GameServerCode: 6)
04:02:56 [AccountInfo] Account disconnected (Account: teste2, IpAddress: 26.89.180.238, GameServerCode: 6)
04:03:04 [AccountInfo] Account connected (Account: tuta, IpAddress: 26.89.180.238, GameServerCode: 6)
04:11:59 [AccountInfo] Account disconnected by clear (Account: tuta, IpAddress: 26.89.180.238, GameServerCode: 6)
04:17:00 [AccountInfo] Account connected (Account: tuta, IpAddress: 26.89.180.238, GameServerCode: 6)
04:21:34 [AccountInfo] Account disconnected by clear (Account: tuta, IpAddress: 26.89.180.238, GameServerCode: 6)
04:25:12 [AccountInfo] Account connected (Account: tuta, IpAddress: 26.89.180.238, GameServerCode: 6)
04:26:45 [AccountInfo] Account disconnected by clear (Account: tuta, IpAddress: 26.89.180.238, GameServerCode: 6)
