09:27:05 [AccountInfo] Account connected (Account: foxx, IpAddress: 192.168.2.106, GameServerCode: 6)
09:27:17 [AccountInfo] Account disconnected (Account: foxx, IpAddress: 192.168.2.106, GameServerCode: 6)
09:28:07 [AccountInfo] Account connected (Account: viper, IpAddress: 192.168.2.106, GameServerCode: 6)
09:30:43 [AccountInfo] Account disconnected (Account: viper, IpAddress: 192.168.2.106, GameServerCode: 6)
09:33:06 [AccountInfo] Account connected (Account: viper, IpAddress: 192.168.2.106, GameServerCode: 6)
09:38:05 [AccountInfo] Account disconnected (Account: viper, IpAddress: 192.168.2.106, GameServerCode: 6)
09:38:41 [AccountInfo] Account connected (Account: viper, IpAddress: 192.168.2.106, GameServerCode: 6)
09:39:46 [AccountInfo] Account disconnected (Account: viper, IpAddress: 192.168.2.106, GameServerCode: 6)
09:48:10 [AccountInfo] Account connected (Account: viper, IpAddress: 192.168.2.106, GameServerCode: 6)
09:48:57 [AccountInfo] Account disconnected (Account: viper, IpAddress: 192.168.2.106, GameServerCode: 6)
09:49:19 [AccountInfo] Account connected (Account: foxx, IpAddress: 192.168.2.106, GameServerCode: 6)
09:49:36 [AccountInfo] Account disconnected (Account: foxx, IpAddress: 192.168.2.106, GameServerCode: 6)
09:50:16 [AccountInfo] Account connected (Account: foxx, IpAddress: 192.168.2.106, GameServerCode: 6)
09:50:24 [AccountInfo] Account disconnected (Account: foxx, IpAddress: 192.168.2.106, GameServerCode: 6)
13:46:53 [AccountInfo] Account connected (Account: viper, IpAddress: 192.168.2.106, GameServerCode: 6)
13:49:53 [AccountInfo] Account disconnected (Account: viper, IpAddress: 192.168.2.106, GameServerCode: 6)
13:57:49 [AccountInfo] Account connected (Account: viper, IpAddress: 192.168.2.106, GameServerCode: 6)
13:58:08 [AccountInfo] Account disconnected (Account: viper, IpAddress: 192.168.2.106, GameServerCode: 6)
13:58:11 [AccountInfo] Account connected (Account: viper, IpAddress: 192.168.2.106, GameServerCode: 6)
14:00:01 [AccountInfo] Account disconnected by clear (Account: viper, IpAddress: 192.168.2.106, GameServerCode: 6)
14:00:41 [AccountInfo] Account connected (Account: viper, IpAddress: 192.168.2.106, GameServerCode: 6)
14:05:02 [AccountInfo] Account disconnected (Account: viper, IpAddress: 192.168.2.106, GameServerCode: 6)
14:10:20 [AccountInfo] Account connected (Account: viper, IpAddress: 192.168.2.106, GameServerCode: 6)
14:23:25 [AccountInfo] Account disconnected (Account: viper, IpAddress: 192.168.2.106, GameServerCode: 6)
