0
// Index   Type      Movement       Height      Size         Model             Object
//6806     4    	  0        		 1.0        1.00		"FR_6"	          "fenril_red"
  6803  4  0  00.0  0.00               "Helper20"               ""
  6804  4  0  00.0  0.00               "Helper20"               ""
  6805  4  0  00.0  0.00               "Helper20"               ""
  6806  4  0  00.0  0.00               "Helper20"               ""
  6807  4  0  00.0  0.00               "Helper20"               ""
  6808  4  0  00.0  0.00               "Helper20"               ""
  6809  4  0  00.0  0.00               "Helper20"               ""
  6810  4  0  00.0  0.00               "Helper20"               ""
  6811  4  0  00.0  0.00               "Helper20"               ""
  6812  4  0  00.0  0.00               "Helper20"               ""
  6813  4  0  00.0  0.00               "Helper20"               ""
  6814  4  0  00.0  0.00               "Helper20"               ""
  6815  4  0  00.0  0.00               "Helper20"               ""
  6816  4  0  00.0  0.00               "Helper20"               ""
  6817  4  0  00.0  0.00               "Helper20"               ""
  6818  4  0  00.0  0.00               "Helper20"               ""
  6819  4  0  00.0  0.00               "Helper20"               ""
  6820  4  0  00.0  0.00               "Helper20"               ""
  6821  4  0  00.0  0.00               "Helper20"               ""
  6822  4  0  00.0  0.00               "Helper20"               ""
  6823  4  0  00.0  0.00               "Helper20"               ""
  6824  4  0  00.0  0.00               "Helper20"               ""
  6825  4  0  00.0  0.00               "Helper20"               ""
  6826  4  0  00.0  0.00               "Helper20"               ""
  6827  4  0  00.0  0.00               "Helper20"               ""
  6828  4  0  00.0  0.00               "Helper20"               ""
  6829  4  0  00.0  0.00               "Helper20"               ""
  6830  4  0  00.0  0.00               "Helper20"               ""
  6831  4  0  00.0  0.00               "Helper20"               ""
  6832  4  0  00.0  0.00               "Helper20"               ""
  6833  4  0  00.0  0.00               "Helper20"               ""
  6834  4  0  00.0  0.00               "Helper20"               ""
  6835  4  0  00.0  0.00               "Helper20"               ""
  6836  4  0  00.0  0.00               "Helper20"               ""
  6837  4  0  00.0  0.00               "Helper20"               ""
  6838  4  0  00.0  0.00               "Helper20"               ""
  6839  4  0  00.0  0.00               "Helper20"               ""
  6840  4  0  00.0  0.00               "Helper20"               ""
  6841  4  0  00.0  0.00               "Helper20"               ""
  6842  4  0  00.0  0.00               "Helper20"               ""
  6843  4  0  00.0  0.00               "Helper20"               ""
  6844  4  0  00.0  0.00               "Helper20"               ""
  6845  4  0  00.0  0.00               "Helper20"               ""
  6846  4  0  00.0  0.00               "Helper20"               ""
  6847  4  0  00.0  0.00               "Helper20"               ""
  6848  4  0  00.0  0.00               "Helper20"               ""
  6849  4  0  00.0  0.00               "Helper20"               ""
  6850  4  0  00.0  0.00               "Helper20"               ""
  6851  4  0  00.0  0.00               "Helper20"               ""
  6852  4  0  00.0  0.00               "Helper20"               ""
  6853  4  0  00.0  0.00               "Helper20"               ""
  6854  4  0  00.0  0.00               "Helper20"               ""
  6855  4  0  00.0  0.00               "Helper20"               ""
  6856  4  0  00.0  0.00               "Helper20"               ""
  6857  4  0  00.0  0.00               "Helper20"               ""
  6858  4  0  00.0  0.00               "Helper20"               ""
  6859  4  0  00.0  0.00               "Helper20"               ""
  6860  4  0  00.0  0.00               "Helper20"               ""
  6861  4  0  00.0  0.00               "Helper20"               ""
  6862  4  0  00.0  0.00               "Helper20"               ""
  6863  4  0  00.0  0.00               "Helper20"               ""
  6864  4  0  00.0  0.00               "Helper20"               ""
  6865  4  0  00.0  0.00               "Helper20"               ""
  6866  4  0  00.0  0.00               "Helper20"               ""
  6867  4  0  00.0  0.00               "Helper20"               ""
  6868  4  0  00.0  0.00               "Helper20"               ""
  6869  4  0  00.0  0.00               "Helper20"               ""
  6870  4  0  00.0  0.00               "Helper20"               ""
  6871  4  0  00.0  0.00               "Helper20"               ""
  6872  4  0  00.0  0.00               "Helper20"               ""
  6873  4  0  00.0  0.00               "Helper20"               ""
  6874  4  0  00.0  0.00               "Helper20"               ""
  6875  4  0  00.0  0.00               "Helper20"               ""
  6876  4  0  00.0  0.00               "Helper20"               ""
  6877  4  0  00.0  0.00               "Helper20"               ""
  6878  4  0  00.0  0.00               "Helper20"               ""
  6879  4  0  00.0  0.00               "Helper20"               ""
  6880  4  0  00.0  0.00               "Helper20"               ""
  6881  4  0  00.0  0.00               "Helper20"               ""
  6882  4  0  00.0  0.00               "Helper20"               ""
  6883  4  0  00.0  0.00               "Helper20"               ""
  6884  4  0  00.0  0.00               "Helper20"               ""
  6885  4  0  00.0  0.00               "Helper20"               ""
  6886  4  0  00.0  0.00               "Helper20"               ""
  6887  4  0  00.0  0.00               "Helper20"               ""
  6888  4  0  00.0  0.00               "Helper20"               ""
  6889  4  0  00.0  0.00               "Helper20"               ""
  6890  4  0  00.0  0.00               "Helper20"               ""
  6891  4  0  00.0  0.00               "Helper20"               ""
  6892  4  0  00.0  0.00               "Helper20"               ""
  6893  4  0  00.0  0.00               "Helper20"               ""
  6894  4  0  00.0  0.00               "Helper20"               ""
  6895  4  0  00.0  0.00               "Helper20"               ""
  6896  4  0  00.0  0.00               "Helper20"               ""
  6897  4  0  00.0  0.00               "Helper20"               ""
  6898  4  0  00.0  0.00               "Helper20"               ""
  6899  4  0  00.0  0.00               "Helper20"               ""
  6900  4  0  00.0  0.00               "Helper20"               ""
  6901  4  0  00.0  0.00               "Helper20"               ""
  6902  4  0  00.0  0.00               "Helper20"               ""
  6903  4  0  00.0  0.00               "Helper20"               ""
  6904  4  0  00.0  0.00               "Helper20"               ""
  6905  4  0  00.0  0.00               "Helper20"               ""
  6906  4  0  00.0  0.00               "Helper20"               ""
  6907  4  0  00.0  0.00               "Helper20"               ""
  6908  4  0  00.0  0.00               "Helper20"               ""
  6909  4  0  00.0  0.00               "Helper20"               ""
  6910  4  0  00.0  0.00               "Helper20"               ""
  6911  4  0  00.0  0.00               "Helper20"               ""
  6912  4  0  00.0  0.00               "Helper20"               ""
  6913  4  0  00.0  0.00               "Helper20"               ""
