//Section   Type   Level   Dur   Skill   Luck   Option   Excellent
13          18       1       0     0       0      0        0             
13          18       2       0     0       0      0        0             
13          18       3       0     0       0      0        0             
13          18       4       0     0       0      0        0             
13          18       5       0     0       0      0        0             
13          18       6       0     0       0      0        0             
13          18       7       0     0       0      0        0             
13          18       8       0     0       0      0        0             
14          19       6       0     0       0      0        0  
         
// PETS		 
13          0       0       255     0       0      0        0
13          1       0       255     0       0      0        0
// POTIONS		 
14          6       0       255     0       0      0        0             
14          3       0       255     0       0      0        0   
          
//13          150       15      255     1       1      1        1             
//13          64        0       255     1       1      1        0             
//13          65        0       255     1       1      1        0             



end
