//Section   Type   Level   Dur   Skill   Luck   Option   Excellent
14          9      0       1     0       0      0        0             
14          10     0       1     0       0      0        0             
13          16     0       1     0       0      0        0             
13          16     0       1     0       0      0        0             
13          17     0       1     0       0      0        0             
13          17     0       1     0       0      0        0             
14          17     0       0     0       0      0        0             
14          17     0       0     0       0      0        0             
14          18     0       0     0       0      0        0             
14          18     0       0     0       0      0        0             
13          29     0       1     0       0      0        0             
13          18     0       0     0       0      0        0             
end
