
//Index   ItemIndex   DefenseConstA   IncDamageConstA   IncDamageConstB   DecDamageConstA   DecDamageConstB   OptionIndex1   OptionValue1   OptionIndex2   OptionValue2   OptionIndex3   OptionValue3   NewOptionIndex1   NewOptionValue1   NewOptionIndex2   NewOptionValue2   NewOptionIndex3   NewOptionValue3   NewOptionIndex4   NewOptionValue4   ModelType   ModelName
  1      6344          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
  2      6345          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
  3      6346          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
  4      6347          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
  5      6348          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
  6      6349          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
  7      6350          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
  8      6351          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
  9      6352          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 10      6353          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 11      6354          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 12      6355          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 13      6356          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 14      6357          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 15      6358          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 16      6359          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 17      6360          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 18      6361          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 19      6362          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 20      6363          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 21      6364          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 22      6365          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 23      6366          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 24      6367          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 25      6368          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 26      6369          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 27      6370          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 28      6371          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 29      6372          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 30      6373          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 31      6374          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 32      6375          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 33      6376          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 34      6377          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 35      6378          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 36      6379          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 37      6380          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 38      6381          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 39      6382          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 40      6383          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 41      6384          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 42      6385          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 43      6386          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 44      6387          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 45      6388          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 46      6389          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 47      6390          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 48      6391          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 49      6392          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 50      6393          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 51      6394          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 52      6395          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 53      6396          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 54      6397          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 55      6398          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 56      6399          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 57      6400          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 58      6401          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 59      6402          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 60      6403          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 61      6404          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 62      6405          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 63      6406          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 64      6407          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 65      6408          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 66      6409          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 67      6410          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 68      6411          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 69      6412          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 70      6413          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 71      6414          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 72      6415          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 73      6416          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 74      6417          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 75      6418          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 76      6419          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 77      6420          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 78      6421          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 79      6422          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 80      6423          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 81      6424          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 82      6425          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 83      6426          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 84      6427          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 85      6428          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 86      6429          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 87      6430          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 88      6431          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 89      6432          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 90      6433          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 91      6434          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 92      6435          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 93      6436          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 94      6437          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 95      6438          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 96      6439          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 97      6440          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 98      6441          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
 99      6442          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
100      6443          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
101      6444          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
102      6445          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
103      6446          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
104      6447          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
105      6448          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
106      6449          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
107      6450          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
108      6451          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
109      6452          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
110      6453          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
111      6454          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
112      6455          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
113      6456          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
114      6457          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
115      6458          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
116      6459          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
117      6460          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
118      6461          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
119      6462          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
120      6463          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
121      6464          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
122      6465          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
