//Section   Type   Level   Dur   Skill   Luck   Option   Excellent

// HELMS
7           0       7      255      0       0      0        0
7           5       7      255      0       0      0        0
7           6       7      255      0       0      0        0
7           1       7      255      0       0      0        0
// ARMOR
8           0       7      255      0       0      0        0
8           5       7      255      0       0      0        0
8           6       7      255      0       0      0        0
8           1       7      255      0       0      0        0
// PANTS
9           0       7      255      0       0      0        0
9           6       7      255      0       0      0        0
9           5       7      255      0       0      0        0
9           1       7      255      0       0      0        0
// GLOVES
10           0      7      255      0       0      0        0
10           6      7      255      0       0      0        0
10           5      7      255      0       0      0        0
10           1      7      255      0       0      0        0
// BOOTS
11           0      7      255      0       0      0        0
11           6      7      255      0       0      0        0
11           5      7      255      0       0      0        0
11           1      7      255      0       0      0        0
// SWORD
0           1      7      255      0       0      0        0
0           2      7      255      0       0      0        0
0           3      7      255      0       0      0        0
0           4      7      255      0       0      0        0
// MAGIAS
12           7       0      0      0       0      0        0
12           12      0      0      0       0      0        0
12           13      0      0      0       0      0        0
12           14      0      0      0       0      0        0
12           19      0      0      0       0      0        0
12           16      0      0      0       0      0        0
15           29      0      0      0       0      0        0

end

