//Section   Type   Level   Dur   Skill   Luck   Option   Excellent

// HELMS
7             7        9      0     0       0      1        0     
7             3        9      0     0       0      1        0     
7             18       9      0     0       0      1        0     
7             22       9      0     0       0      1        0     


// ARMOR
8             7        9      0     0       0      1        0     
8             3        9      0     0       0      1        0     
8             18       9      0     0       0      1        0     
8             22       9      0     0       0      1        0     

// HELMS
9             3        9      0     0       4      1        0     
9             7        9      0     0       4      1        0     
9             18       9      0     0       4      1        0     
9             22       9      0     0       4      1        0     

// HELMS
10             3        9      0     0       4      1        0    
10             7        9      0     0       4      1        0    
10             18       9      0     0       4      1        0    
10             22       9      0     0       4      1        0    


// HELMS
11             3        9      0     0       4      1        0    
11             7        9      0     0       4      1        0    
11             18       9      0     0       4      1        0    
11             22       9      0     0       4      1        0    

// MAGIAS 

15          0       0       1     0       0      0        0          
15          1       0       1     0       0      0        0           
15          2       0       1     0       0      0        0          
15          3       0       1     0       0      0        0          
15          4       0       1     0       0      0        0          
15          5       0       1     0       0      0        0          
15          6       0       1     0       0      0        0          
15          7       0       1     0       0      0        0          
15          8       0       1     0       0      0        0          
15          9       0       1     0       0      0        0          
15          10      0       1     0       0      0        0         
15          11      0       1     0       0      0        0         
15          12      0       1     0       0      0        0         
15          15      0       1     0       0      0        0         
15          16      0       1     0       0      0        0         
15          17      0       1     0       0      0        0         

end

