//Section   Type   Level   Dur   Skill   Luck   Option   Excellent   Ancient   JoH   Ex   Socket1   Socket2   Socket3   Socket4   Socket5
7           1      0       0     0       1      1        0             0        0     0     255       255       255       255       255
8           1      0       0     0       1      1        0             0        0     0     255       255       255       255       255
9           1      0       0     0       1      1        0             0        0     0     255       255       255       255       255
10          1      0       0     0       1      1        0             0        0     0     255       255       255       255       255
11          1      0       0     0       1      1        0             0        0     0     255       255       255       255       255
0           9      0       0     1       1      1        0             0        0     0     255       255       255       255       255
0           11     0       0     1       1      1        0             0        0     0     255       255       255       255       255
0           15     0       0     1       1      1        0             0        0     0     255       255       255       255       255
0           13     0       0     1       1      1        0             0        0     0     255       255       255       255       255
0           12     0       0     1       1      1        0             0        0     0     255       255       255       255       255
0           14     0       0     1       1      1        0             0        0     0     255       255       255       255       255
4           12     0       0     1       1      1        0             0        0     0     255       255       255       255       255
3           8      0       0     1       1      1        0             0        0     0     255       255       255       255       255
3           9      0       0     1       1      1        0             0        0     0     255       255       255       255       255
4           5      0       0     1       1      1        0             0        0     0     255       255       255       255       255
4           13     0       0     1       1      1        0             0        0     0     255       255       255       255       255
end

