//Section   Type   Level   Dur   Skill   Luck   Option   Excellent   Ancient   JoH   Ex   Socket1   Socket2   Socket3   Socket4   Socket5
7           13     0       0     0       1      1        0             0        0     0     255       255       255       255       255
8           13     0       0     0       1      1        0             0        0     0     255       255       255       255       255
9           13     0       0     0       1      1        0             0        0     0     255       255       255       255       255
10          13     0       0     0       1      1        0             0        0     0     255       255       255       255       255
11          13     0       0     0       1      1        0             0        0     0     255       255       255       255       255
7           14     0       0     0       1      1        0             0        0     0     255       255       255       255       255
8           14     0       0     0       1      1        0             0        0     0     255       255       255       255       255
9           14     0       0     0       1      1        0             0        0     0     255       255       255       255       255
10          14     0       0     0       1      1        0             0        0     0     255       255       255       255       255
11          14     0       0     0       1      1        0             0        0     0     255       255       255       255       255
4           8      0       0     1       1      1        0             0        0     0     255       255       255       255       255
4           9      0       0     1       1      1        0             0        0     0     255       255       255       255       255
4           0      0       0     1       1      1        0             0        0     0     255       255       255       255       255
4           1      0       0     1       1      1        0             0        0     0     255       255       255       255       255
4           2      0       0     1       1      1        0             0        0     0     255       255       255       255       255
4           3      0       0     1       1      1        0             0        0     0     255       255       255       255       255
4           11     0       0     1       1      1        0             0        0     0     255       255       255       255       255
4           4      0       0     1       1      1        0             0        0     0     255       255       255       255       255
4           10     0       0     1       1      1        0             0        0     0     255       255       255       255       255
6           3      0       0     1       1      1        0             0        0     0     255       255       255       255       255
end

